comp,season,matchid,minute,extraTime,goaltype,team.id,team.name,scorer.id,scorer.name,assist.id,assist.name
CL,2019,269516,13,,REGULAR,752,APOEL FC,15518,Andrija Pavlović,,
CL,2019,269516,25,,REGULAR,752,APOEL FC,15518,Andrija Pavlović,,
CL,2019,269516,66,,REGULAR,752,APOEL FC,15518,Andrija Pavlović,,
CL,2019,269520,15,,REGULAR,5929,Maccabi Tel Aviv FC,41906,Nick Blackman,,
CL,2019,269520,19,,PENALTY,5515,FC CFR 1907 Cluj,36776,Emmanuel Culio,,
CL,2019,269520,42,,REGULAR,5515,FC CFR 1907 Cluj,36710,Mário Rondón,36776,Emmanuel Culio
CL,2019,269520,48,,REGULAR,5929,Maccabi Tel Aviv FC,42305,Yonatan Cohen,41016,Etey Shechter
CL,2019,278129,27,,PENALTY,5813,Valletta FC,67599,Mario Fontanella,,
CL,2019,278129,60,,REGULAR,5954,Ferencvárosi TC,38485,Tokmac Nguen,,
CL,2019,269512,8,,REGULAR,729,FC Basel 1893,30823,Eray Cömert,3478,Fabian Frei
CL,2019,269512,23,,REGULAR,674,PSV,9553,Bruma,7457,Donyell Malen
CL,2019,269512,68,,REGULAR,729,FC Basel 1893,16061,Ricky van Wolfswinkel,16056,Valentin Stocker
CL,2019,269518,77,,REGULAR,755,GNK Dinamo Zagreb,73401,Mislav Oršić,2174,Bruno Petković
CL,2019,269518,88,,REGULAR,755,GNK Dinamo Zagreb,2174,Bruno Petković,23132,Dani Olmo
CL,2019,269518,90,4,REGULAR,755,GNK Dinamo Zagreb,23132,Dani Olmo,2174,Bruno Petković
CL,2019,269510,51,,REGULAR,654,PAE Olympiakos SFP,92,Guilherme,30468,Mathieu Valbuena
CL,2019,269510,70,,REGULAR,654,PAE Olympiakos SFP,275,Guerrero,,
CL,2019,269510,73,,OWN,1881,FC Viktoria Plzeň,8966,Jakub Brabec,,
CL,2019,269510,82,,REGULAR,654,PAE Olympiakos SFP,33110,Rúben Semedo,3602,Yassine Meriah
CL,2019,278127,46,,REGULAR,5123,Helsingin JK,55855,Sebastian Dahlström,,
CL,2019,278127,56,,REGULAR,7283,FK Crvena Zvezda,67701,Dušan Jovančić,,
CL,2019,278127,90,2,REGULAR,5123,Helsingin JK,56442,Riku Riski,,
CL,2019,278363,73,,PENALTY,889,Rosenborg BK,15552,Pål Helland,,
CL,2019,278363,85,,REGULAR,889,Rosenborg BK,16207,Alexander Søderlund,,
CL,2019,278365,5,,REGULAR,5277,AIK Fotboll,31154,Per Karlsson,,
CL,2019,278365,48,,REGULAR,734,NK Maribor,2226,Andrej Kotnik,,
CL,2019,278365,61,,REGULAR,5277,AIK Fotboll,3493,Sebastian Larsson,,
CL,2019,278365,93,,REGULAR,5277,AIK Fotboll,31729,Tarik Elyounoussi,,
CL,2019,278365,117,,REGULAR,734,NK Maribor,79771,Alexandru Crețu,,
CL,2019,278367,12,,REGULAR,611,Qarabağ Ağdam FK,32291,Jaime Romero,,
CL,2019,278367,76,,REGULAR,611,Qarabağ Ağdam FK,9562,Ailton Silva,,
CL,2019,278367,87,,REGULAR,611,Qarabağ Ağdam FK,32291,Jaime Romero,,
CL,2019,269514,52,,REGULAR,1876,FC København,16332,Zeca,,
CL,2019,279609,54,,REGULAR,611,Qarabağ Ağdam FK,15065,Mahir Emreli,32291,Jaime Romero
CL,2019,279609,69,,REGULAR,611,Qarabağ Ağdam FK,29713,Magaye Gueye,786,Abdellah Zoubir
CL,2019,279609,90,5,REGULAR,752,APOEL FC,15233,Giorgios Merkis,60463,Tomás De Vincenti
CL,2019,278630,10,,REGULAR,678,AFC Ajax,3707,Hakim Ziyech,,
CL,2019,278630,32,,REGULAR,6146,PAOK FC,9053,Chuba Akpom,43195,Dimitris Giannoulis
CL,2019,278630,39,,REGULAR,6146,PAOK FC,43502,Léo Matos,43504,Diego Biseswar
CL,2019,278630,57,,REGULAR,678,AFC Ajax,7572,Klaas-Jan Huntelaar,,
CL,2019,279225,7,,REGULAR,755,GNK Dinamo Zagreb,23132,Dani Olmo,23130,Arijan Ademi
CL,2019,279225,59,,REGULAR,5954,Ferencvárosi TC,63110,Dávid Sigér,38485,Tokmac Nguen
CL,2019,278636,37,,PENALTY,851,Club Brugge KV,8888,Hans Vanaken,,
CL,2019,279611,44,,REGULAR,7283,FK Crvena Zvezda,67702,Milan Pavkov,15419,Mirko Ivanić
CL,2019,279611,84,,PENALTY,1876,FC København,16335,Jonas Wind,,
