season,tie,game,hometeam,awayteam,pcthome,pctdraw,pctaway
2016,barcelona-atletico,1,Barcelona,Atl. Madrid,0.6358340165006716,0.23078700877361288,0.1333789747257156
2016,barcelona-atletico,2,Atl. Madrid,Barcelona,0.30807523386894203,0.2820280566613639,0.4098967094696941
2016,bayern-benfica,1,Bayern Munich,Benfica,0.7874385141552466,0.14497887159235215,0.06758261425240143
2016,bayern-benfica,2,Benfica,Bayern Munich,0.14086207052506083,0.2281099723632782,0.631027957111661
2016,psg-city,1,Paris SG,Manchester City,0.5716016319937829,0.24266574222574389,0.18573262578047323
2016,psg-city,2,Manchester City,Paris SG,0.3377082980720408,0.2728377775384284,0.3894539243895309
2016,wolfsburg-madrid,1,Wolfsburg,Real Madrid,0.1767331825282073,0.22162421973788926,0.6016425977339033
2016,wolfsburg-madrid,2,Real Madrid,Wolfsburg,0.8142428313891809,0.11619206819706832,0.06956510041375089
2016,atletico-bayern,1,Atl. Madrid,Bayern Munich,0.30389313304888577,0.3275064508195762,0.36860041613153816
2016,atletico-bayern,2,Bayern Munich,Atl. Madrid,0.6167284724341946,0.23753547607759598,0.14573605148820926
2016,city-madrid,1,Manchester City,Real Madrid,0.37527104833906255,0.2942855029528211,0.33044344870811654
2016,city-madrid,2,Real Madrid,Manchester City,0.6529523528291843,0.20792940929630765,0.139118237874508
2017,bayern-arsenal,1,Bayern Munich,Arsenal,0.6921631489158296,0.19037886217724193,0.11745798890692866
2017,bayern-arsenal,2,Arsenal,Bayern Munich,0.24137727482131713,0.23267376731574077,0.525948957862942
2017,benfica-dortmund,1,Benfica,Dortmund,0.30147877245985055,0.2889171569406901,0.4096040705994594
2017,benfica-dortmund,2,Dortmund,Benfica,0.7579389871228722,0.1511287891983004,0.09093222367882742
2017,city-monaco,1,Manchester City,Monaco,0.6039829950298066,0.22454164181809966,0.17147536315209375
2017,city-monaco,2,Monaco,Manchester City,0.3351490144858703,0.2509276300166231,0.4139233554975065
2017,leverkusen-atletico,1,Bayer Leverkusen,Atl. Madrid,0.3203807997737823,0.31312298230317875,0.36649621792303877
