tie,hometeam,awayteam,oddshome,oddsdraw,oddsaway,season
Chelsea - Liverpool,Chelsea,Liverpool,134,227,204,2009
Barcelona - Bayern Munich,Barcelona,Bayern Munich,-263,367,756,2009
Liverpool - Chelsea,Liverpool,Chelsea,120,198,273,2009
Manchester Utd - FC Porto,Manchester Utd,FC Porto,-250,326,792,2009
Villarreal - Arsenal,Villarreal,Arsenal,192,209,154,2009
AS Roma - Arsenal,AS Roma,Arsenal,150,222,186,2009
Barcelona - Lyon,Barcelona,Lyon,-256,346,802,2009
FC Porto - Atl. Madrid,FC Porto,Atl. Madrid,108,234,254,2009
Manchester Utd - Inter,Manchester Utd,Inter,-156,252,503,2009
Bayern Munich - Sporting,Bayern Munich,Sporting,-139,252,407,2009
Juventus - Chelsea,Juventus,Chelsea,163,209,179,2009
Liverpool - Real Madrid,Liverpool,Real Madrid,127,215,227,2009
Panathinaikos - Villarreal,Panathinaikos,Villarreal,163,217,173,2009
Chelsea - Juventus,Chelsea,Juventus,-133,229,451,2009
Real Madrid - Liverpool,Real Madrid,Liverpool,-105,224,323,2009
Sporting - Bayern Munich,Sporting,Bayern Munich,175,218,163,2009
Villarreal - Panathinaikos,Villarreal,Panathinaikos,-147,252,451,2009
Arsenal - AS Roma,Arsenal,AS Roma,-104,221,320,2009
Atl. Madrid - FC Porto,Atl. Madrid,FC Porto,-101,217,271,2009
Inter - Manchester Utd,Inter,Manchester Utd,144,200,215,2009
Lyon - Barcelona,Lyon,Barcelona,262,236,-103,2009
Chelsea - Liverpool,Chelsea,Liverpool,116,208,270,2008
Manchester Utd - Barcelona,Manchester Utd,Barcelona,100,223,300,2008
Barcelona - Manchester Utd,Barcelona,Manchester Utd,216,181,273,2008
Liverpool - Chelsea,Liverpool,Chelsea,110,222,540,2008
Barcelona - Schalke,Barcelona,Schalke,-233,324,685,2008
Manchester Utd - AS Roma,Manchester Utd,AS Roma,-137,257,408,2008
Chelsea - Fenerbahce,Chelsea,Fenerbahce,-357,442,975,2008
Liverpool - Arsenal,Liverpool,Arsenal,131,198,231,2008
Arsenal - Liverpool,Arsenal,Liverpool,219,143,530,2008
Fenerbahce - Chelsea,Fenerbahce,Chelsea,656,277,-128,2008
AS Roma - Manchester Utd,AS Roma,Manchester Utd,213,202,145,2008
Schalke - Barcelona,Schalke,Barcelona,1361,299,-115,2008
Inter - Liverpool,Inter,Liverpool,-101,217,307,2008
Chelsea - Olympiakos Piraeus,Chelsea,Olympiakos Piraeus,-385,413,1208,2008
FC Porto - Schalke,FC Porto,Schalke,-135,229,454,2008
Real Madrid - AS Roma,Real Madrid,AS Roma,-133,238,428,2008
AC Milan - Arsenal,AC Milan,Arsenal,119,196,269,2008
Barcelona - Celtic,Barcelona,Celtic,-556,562,2893,2008
Manchester Utd - Lyon,Manchester Utd,Lyon,-263,357,747,2008
Sevilla - Fenerbahce,Sevilla,Fenerbahce,-278,369,769,2008
Arsenal - AC Milan,Arsenal,AC Milan,110,202,308,2008
Celtic - Barcelona,Celtic,Barcelona,320,225,112,2008
