team,fbrefid,matchclub,matchcountry
Gzira (Mlt),8ab497d5,Gżira United FC,Malta
H. Beer Sheva,133013ee,Hapoel Be'er Sheva FC,Israel
H. Beer Sheva (Isr),133013ee,Hapoel Be'er Sheva FC,Israel
Hacken (Swe),8774e267,BK Häcken,Sweden
Hafnarfjordur (Ice),9ac2ced1,Fimleikafélag Hafnarfjarðar,Iceland
Hajduk Split (Cro),6777e16d,HNK Hajduk Split,Croatia
Hapoel Haifa (Isr),8ff9960d,Hapoel Haifa FC,Israel
Hapoel Tel Aviv (Isr),8bb196a5,Hapoel Tel Aviv FC,Israel
Haugesund (Nor),f4bbcd04,FK Haugesund,Norway
Haugesund (Red),f4bbcd04,FK Haugesund,Norway
HB Torshavn (Fai),15c5743b,Havnar Bóltfelag,Faroe Islands
Hearts (Sco),7c77b0bc,Heart of Midlothian FC,Scotland
Heracles (Ned),c882b88e,Heracles Almelo,Netherlands
Hertha Berlin (Ger),2818f8bc,Hertha BSC,Germany
Hibernian (Sco),f3aacc58,Hibernian FC,Scotland
Hibernians (Mlt),0faf8f33,Hibernians FC,Malta
HJK (Fin),d7319d80,HJK Helsinki,Finland
Hoffenheim,033ea6b8,TSG 1899 Hoffenheim,Germany
Hoffenheim (Ger),033ea6b8,TSG 1899 Hoffenheim,Germany
Honka (Fin),c3071553,FC Honka,Finland
Honved (Hun),8cac5dfa,Budapest Honvéd FC,Hungary
Hull (Eng),bd8769d1,Hull City AFC,England
IF Fuglafjordur (Fai),b393ffaf,ÍF Fuglafjørður,Faroe Islands
Ilves (Fin),acffac85,FC Ilves,Finland
Infonet Tallinn (Est),82d952b5,FC Infonet,Estonia
Inter,d609edc0,Internazionale,Italy
Inter (Ita),d609edc0,Internazionale,Italy
Inter Turku (Fin),e9fa2e8b,FC Inter Turku,Finland
Inverness (Sco),4463fecb,Inverness Caledonian Thistle FC,Scotland
Jablonec (Cze),8424bb18,FK Jablonec,Czech Republic
Jagiellonia (Pol),4f7b798d,Jagiellonia Białystok,Poland
Jagodina (Srb),e5cd7bb3,FK Jagodina,Serbia
Jelgava (Lat),8a898dad,FK Jelgava,Latvia
Jeunesse Esch (Lux),f1849f98,Jeunesse Esch,Luxembourg
Juvenes/Dogana (San),633ae161,AC Juvenes/Dogana,San Marino
Juventus,e0652b02,Juventus,Italy
K. Almaty (Kaz),768fb565,FC Kairat,Kazakhstan
Kalju (Est),33afefe1,Nõmme Kalju FC,Estonia
Kapaz (Aze),820a1312,Kapaz PFK,Azerbaijan
Kardemir Karabuk (Tur),30f3de93,Kardemir Karabükspor,Turkey
Kauno Zalgiris (Ltu),3b8af0c2,FK Kauno Žalgiris,Lithuania
Keshla (Aze),63866313,Keşla FK,Azerbaijan
KF Tirana (Alb),83310fa5,KF Tirana,Albania
Kilmarnock (Sco),25f1fd26,Kilmarnock FC,Scotland
Klaksvik,869753d6,KÍ Klaksvík,Faroe Islands
Klaksvik (Fai),869753d6,KÍ Klaksvík,Faroe Islands
Koper (Slo),253fffc4,FC Koper,Slovenia
KR Reykjavik (Ice),ae156985,Knattspyrnufélag Reykjavíkur,Iceland
Krasnodar,fa11a9cc,FC Krasnodar,Russia
Krasnodar (Rus),fa11a9cc,FC Krasnodar,Russia
Kruoja (Ltu),2471f5fa,FK Kruoja Pakruojis,Lithuania
Kukesi (Alb),f1e85b1e,FK Kukësi,Albania
KuPS (Fin),e6f63673,Kuopion PS,Finland
La Fiorita (Gr2),6de42722,S.P. La Fiorita,San Marino
La Fiorita (San),6de42722,S.P. La Fiorita,San Marino
Laci (Alb),7a40cd8b,KF Laçi,Albania
Lahti (Fin),5b8cfb05,FC Lahti,Finland
LASK,d20821dd,LASK Linz,Austria
LASK (Aut),d20821dd,LASK Linz,Austria
LASK Linz (Aut),d20821dd,LASK Linz,Austria
Lazio,7213da33,SS Lazio,Italy
Lazio (Ita),7213da33,SS Lazio,Italy
Lech Poznan (Pol),fdba14df,KKS Lech Poznań,Poland
Lechia Gdansk (Pol),5d36c8f0,KS Lechia Gdańsk,Poland
Legia,a73408a7,Legia Warsaw,Poland
Legia (Pol),a73408a7,Legia Warsaw,Poland
Leicester,a2d435b3,Leicester City FC,England
Levadia (Est),112c9642,FC Levadia Tallinn,Estonia
Levski Sofia (Bul),3a7a27c6,PFC Levski Sofia,Bulgaria
Liberec (Cze),2c9bebcd,FC Slovan Liberec,Czech Republic
Libertas (San),1286546c,AC Libertas,San Marino
Lille,cb188c0c,Lille OSC,France
Lille (Fra),cb188c0c,Lille OSC,France
Lillestrom (Nor),924759ab,Lillestrøm SK,Norway
Lincoln Red Imps (Gib),2d3c1b6d,Lincoln Red Imps FC,Gibraltar
Linfield (Nir),4c96013a,Linfield FC,Northern Ireland
Litex Lovech (Bul),835be610,PFC Litex Lovech,Bulgaria
Liverpool,822bd0ba,Liverpool FC,England
Liverpool (Eng),822bd0ba,Liverpool FC,England
Llandudno (Wal),63235dc5,Llandudno FC,Wales
Lok. Plovdiv (Bul),e0242ef1,PFC Lokomotiv Plovdiv,Bulgaria
Lok. Zagreb (Cro),ea115eb3,NK Lokomotiva,Croatia
Lokeren (Bel),bada91db,Sporting Lokeren,Belgium
Lokomotiv Moscow,5a8dc328,FC Lokomotiv Moscow,Russia
Lokomotiv Moscow (Rus),5a8dc328,FC Lokomotiv Moscow,Russia
Lovcen (Mne),a7dfc896,FK Lovćen,Montenegro
Ludogorets,488c6ba1,PFC Ludogorets Razgrad,Bulgaria
Ludogorets (Bul),488c6ba1,PFC Ludogorets Razgrad,Bulgaria
Luftetari Gjirokastra (Alb),0e3f0159,Luftëtari Gjirokastër,Albania
Lusitanos (And),857b60c3,FC Lusitanos,Andorra
Luzern (Sui),d423a378,FC Luzern,Switzerland
Lyngby (Den),713d0672,Lyngby BK,Denmark
Lyon,d53c0b06,Olympique Lyonnais,France
Lyon (Fra),d53c0b06,Olympique Lyonnais,France
Maccabi Haifa (Isr),187832f5,Maccabi Haifa FC,Israel
Maccabi Tel Aviv,04c011d8,Maccabi Tel Aviv FC,Israel
Maccabi Tel Aviv (Isr),04c011d8,Maccabi Tel Aviv FC,Israel
Mainz (Ger),a224b06a,1. FSV Mainz 05,Germany
Makedonija GP (Mkd),5130dd3e,FK Makedonija Gjorče Petrov,North Macedonia
Malmo FF,f3d8c8b9,Malmö FF,Sweden
Malmo FF (Swe),f3d8c8b9,Malmö FF,Sweden
Manchester City,b8fd03ef,Manchester City FC,England
Manchester City (Eng),b8fd03ef,Manchester City FC,England
Manchester Utd,19538871,Manchester United FC,England
Manchester Utd (Eng),19538871,Manchester United FC,England
Maribor (Slo),2aae7689,NK Maribor,Slovenia
Mariehamn (Fin),c4e86b86,IFK Mariehamn,Finland
Maritimo (Por),c1b0f61b,CS Marítimo,Portugal
Mariupol (Ukr),42b37a13,FC Mariupol,Ukraine
Marseille,5725cc7b,Olympique de Marseille,France
Marseille (Fra),5725cc7b,Olympique de Marseille,France
Met. Skopje (Mkd),fd36fea1,FK Metalurg Skopje,North Macedonia
Metalist Kharkiv (Ukr),44ef020f,FC Metalist Kharkiv,Ukraine
Midtjylland,3c4fb635,FC Midtjylland,Denmark
Midtjylland (Den),3c4fb635,FC Midtjylland,Denmark
Mika (Arm),9558d297,FC Mika,Armenia
Milsami (Mda),7795f801,FC Milsami Orhei,Moldova
Mlada Boleslav (Cze),70c92f33,FK Mladá Boleslav,Czech Republic
Mladost (Srb),9db96189,FK Mladost Lučani,Serbia
MOL Fehervar (Hun),a338349f,MOL Fehérvár FC,Hungary
Molde,174bd5a0,Molde FK,Norway
Molde (Blu),174bd5a0,Molde FK,Norway
Molde (Nor),174bd5a0,Molde FK,Norway
Monaco,fd6114db,AS Monaco FC,France
Monaco (Fra),fd6114db,AS Monaco FC,France
Motherwell (Sco),9d04848a,Motherwell FC,Scotland
MTK Budapest (Hun),e44db2c6,MTK Budapest FC,Hungary
Mura (Slo),43a5e45a,NŠ Mura,Slovenia
Myjava (Svk),591295f1,Spartak Myjava,Slovakia
MyPa (Fin),251418b2,Myllykosken Pallo −47,Finland
Nacional (Por),5c9eb756,CD Nacional,Portugal
Napoli,d48ad4ff,SSC Napoli,Italy
Napoli (Ita),d48ad4ff,SSC Napoli,Italy
Narva (Est),8a9775ad,JK Narva Trans,Estonia
ND Gorica (Slo),e404a61d,ND Gorica,Slovenia
Neftci Baku (Aze),d0ab5e26,Neftchi PFK,Azerbaijan
Neman (Blr),28e7926c,FC Neman Grodno,Belarus
Newtown (Wal),584106a8,Newtown AFC,Wales
Nice,132ebc33,OGC Nice,France
Nice (Fra),132ebc33,OGC Nice,France
Niedercorn (Lux),ec560e72,FC Progrès Niederkorn,Luxembourg
Nordsjaelland (Den),1850e3f9,FC Nordsjælland,Denmark
Norrkoping (Swe),1d0836d6,IFK Norrköping,Sweden
NSI Runavik (Fai),448e1bb9,NSÍ Runavík,Faroe Islands
O. Ljubljana (Slo),8ae75624,NK Olimpija Ljubljana,Slovenia
Odd (Nor),b70ec3fa,Odds BK,Norway
Oleksandriya (Ukr),797d38d2,FC Oleksandriya,Ukraine
Olimpic Sarajevo (Bih),63bc42eb,FK Olimpic,Bosnia and Herzegovina
Olimpik Donetsk (Ukr),4deda092,FC Olimpik Donetsk,Ukraine
Olympiacos Piraeus,2fdb4aef,Olympiacos FC,Greece
Olympiacos Piraeus (Gre),2fdb4aef,Olympiacos FC,Greece
Omonia (Cyp),15e031af,AC Omonia,Cyprus
Oostende (Bel),95b895fe,KV Oostende,Belgium
Ordabasy (Kaz),38bfcdf5,FC Ordabasy,Kazakhstan
Osijek (Cro),57d14db5,NK Osijek,Croatia
Osmanlispor,ed6b1d21,Osmanlıspor FK,Turkey
Osmanlispor (Tur),ed6b1d21,Osmanlıspor FK,Turkey
Ostersunds,577e2606,Östersunds FK,Sweden
Ostersunds (Swe),577e2606,Östersunds FK,Sweden
Panathinaikos (Gre),f3a5726c,Panathinaikos FC,Greece
Pandurii (Rou),46554cb7,CS Pandurii Târgu Jiu,Romania
Panionios (Gre),1ad6cc2c,Panionios FC,Greece
PAOK,5a5e7874,PAOK FC,Greece
PAOK (Gre),5a5e7874,PAOK FC,Greece
Paris SG,e2d8892c,Paris Saint-Germain FC,France
Partizan,dde3e804,FK Partizan,Serbia
Partizan (Srb),dde3e804,FK Partizan,Serbia
Partizani (Alb),3ba2fddf,FK Partizani Tirana,Albania
Pelister (Mkd),6d2aac76,FK Pelister,North Macedonia
Petrocub (Mda),ae96366c,FC Petrocub Sărata-Galbenă,Moldova
Petrolul (Rou),4f30dd8b,FC Petrolul Ploiești,Romania
Piast Gliwice (Pol),ad2649a5,GKS Piast Gliwice,Poland
Plzen,02cd81bf,FC Viktoria Plzeň,Czech Republic
Plzen (Cze),02cd81bf,FC Viktoria Plzeň,Czech Republic
Poli Iasi (Rou),c12c3ccf,FC Politehnica Iași,Romania
Prishtina,7de37644,FC Prishtina,Kosovo
Prishtina (Kos),7de37644,FC Prishtina,Kosovo
PSV,e334d850,PSV Eindhoven,Netherlands
PSV (Ned),e334d850,PSV Eindhoven,Netherlands
Pyunik Yerevan (Arm),03022534,FC Pyunik,Armenia
Qarabag (Aze),44b65410,Qarabağ FK,Azerbaijan
Rabotnicki (Mkd),4ebc9920,FK Rabotnički,North Macedonia
Racing Luxembourg (Lux),406252ea,Racing FC Union Luxembourg,Luxembourg
Radnicki Nis (Srb),72804f2b,FK Radnički Niš,Serbia
Radnik Bijeljina (Bih),7e4fae05,FK Radnik Bijeljina,Bosnia and Herzegovina
Randers FC (Den),d06bc460,Randers FC,Denmark
Rangers,86b7acd2,Rangers FC,Scotland
Rangers (Sco),86b7acd2,Rangers FC,Scotland
Rapid Vienna,912e4c40,SK Rapid Wien,Austria
Rapid Vienna (Aut),912e4c40,SK Rapid Wien,Austria
RB Leipzig,acbb6a5b,RB Leipzig,Germany
RB Leipzig (Ger),acbb6a5b,RB Leipzig,Germany
Real Madrid,53a2f082,Real Madrid CF,Spain
Real Sociedad,e31d1cd9,Real Sociedad,Spain
Real Sociedad (Esp),e31d1cd9,Real Sociedad,Spain
Rennes,b3072e00,Stade Rennais FC,France
Renova (Mkd),623ecff4,FK Renova,North Macedonia
RFS (Lat),7c90642e,FK Rīgas Futbola skola,Latvia
Riga FC (Lat),91cc0413,Riga FC,Latvia
Rijeka (Cro),25dbe099,HNK Rijeka,Croatia
Rio Ave (Por),eea856da,Rio Ave FC,Portugal
Riteriai,49a61d12,FK Riteriai,Lithuania
Riteriai (Ltu),49a61d12,FK Riteriai,Lithuania
RNK Split (Cro),27b6696c,RNK Split,Croatia
Rosenborg (Blu),90e37d3a,Rosenborg BK,Norway
Rosenborg (Nor),90e37d3a,Rosenborg BK,Norway
Rovaniemi (Fin),4fea542b,Rovaniemen PS,Finland
Rubin Kazan (Rus),5625a7da,FC Rubin Kazan,Russia
Ruch Chorzow (Pol),c39b0fab,KS Ruch Chorzów,Poland
Rudar (Mne),fe8bc2a6,FK Rudar Pljevlja,Montenegro
Rudar (Slo),933ac71c,NK Rudar Velenje,Slovenia
Ruzomberok (Svk),356c100c,MFK Ružomberok,Slovakia
Sabail (Aze),6642b67e,Sabail FK,Azerbaijan
Saburtalo Tbilisi (Geo),672ebb3d,FC Saburtalo Tbilisi,Georgia
Salzburg,50f2a074,FC Red Bull Salzburg,Austria
Salzburg (Aut),50f2a074,FC Red Bull Salzburg,Austria
Sampdoria (Ita),8ff9e3b3,UC Sampdoria,Italy
Samtredia (Geo),b8b2d55e,FC Samtredia,Georgia
Sant Julia,78816dd0,UE Sant Julià,Andorra
Sant Julia (And),78816dd0,UE Sant Julià,Andorra
Santos Tartu (Est),0d984553,FC Santos Tartu,Estonia
Sarpsborg 08 (Nor),47b3e736,Sarpsborg 08 FF,Norway
Sassuolo (Ita),e2befd26,US Sassuolo Calcio,Italy
Saxan Gagauz Yeri (Mda),8c424f8f,FC Saxan,Moldova
Schalke,c539e393,FC Schalke 04,Germany
Sevilla,ad2be733,Sevilla FC,Spain
Sevilla (Esp),ad2be733,Sevilla FC,Spain
