hometeam,awayteam,game,season,tie,homewin,draw,awaywin
Schalke,Real Madrid,1,2014,schalke-madrid,0.1602051065,0.2270831816,0.6127117119
Real Madrid,Schalke,2,2014,schalke-madrid,0.7578009748000001,0.1476398848,0.09455914037999999
Zenit Petersburg,Dortmund,1,2014,zenit-dortmund,0.2052791091,0.2463349309,0.54838596
Dortmund,Zenit Petersburg,2,2014,zenit-dortmund,0.7126331192,0.1699303071,0.11743657369999999
Barcelona,Atl. Madrid,1,2014,barcelona-atletico,0.6176226688,0.22677151269999998,0.1556058185
Atl. Madrid,Barcelona,2,2014,barcelona-atletico,0.2592608639,0.2717819852,0.4689571509
Real Madrid,Dortmund,1,2014,madrid-dortmund,0.690634489,0.1879478642,0.1214176468
Dortmund,Real Madrid,2,2014,madrid-dortmund,0.3257007501,0.2487169364,0.42558231350000003
Paris SG,Chelsea,1,2014,psg-chelsea,0.4605832673,0.2859740883,0.25344264440000003
Chelsea,Paris SG,2,2014,psg-chelsea,0.5238858609,0.2527519504,0.22336218870000002
Manchester Utd,Bayern Munich,1,2014,united-bayern,0.1489941191,0.19999833,0.651007551
Bayern Munich,Manchester Utd,2,2014,united-bayern,0.7391034849,0.1527911738,0.1081053412
Atl. Madrid,Chelsea,1,2014,atletico-chelsea,0.5404470503000001,0.2758370511,0.18371589859999998
Chelsea,Atl. Madrid,2,2014,atletico-chelsea,0.4027510134,0.2967639046,0.3004850821
Real Madrid,Bayern Munich,1,2014,madrid-bayern,0.4291899693,0.26267364239999996,0.3081363882
Bayern Munich,Real Madrid,2,2014,madrid-bayern,0.5508502267000001,0.2229970771,0.2261526962
Arsenal,Monaco,1,2015,arsenal-monaco,0.6014059911,0.25409894,0.1444950689
Monaco,Arsenal,2,2015,arsenal-monaco,0.2798649234,0.26895097100000004,0.4511841056
Basel,FC Porto,1,2015,basel-porto,0.2631516728,0.304527722,0.4323206053
FC Porto,Basel,2,2015,basel-porto,0.6716314841,0.21263832629999999,0.1157301896
Manchester City,Barcelona,1,2015,city-barcelona,0.24908944600000002,0.2640212384,0.48688931560000004
Barcelona,Manchester City,2,2015,city-barcelona,0.7072237515,0.1688429398,0.1239333087
Juventus,Dortmund,1,2015,juventus-dortmund,0.49667385189999996,0.28641961109999997,0.21690653699999998
Dortmund,Juventus,2,2015,juventus-dortmund,0.4281997625,0.2875968554,0.28420338219999997
Bayer Leverkusen,Atl. Madrid,1,2015,leverkusen-atletico,0.3265411441,0.308862165,0.36459669100000003
Atl. Madrid,Bayer Leverkusen,2,2015,leverkusen-atletico,0.5507127787,0.2672527804,0.18203444100000002
Paris SG,Chelsea,1,2015,psg-chelsea,0.3627584907,0.3165245655,0.3207169438
